Откуда,Куда,Тип перевозки,Стоимость,Единица измерения,Сроки
Шанхай,Маньчжурия,Авто генеральное,2310,$ / 90',4-5 дней
Шанхай,Дуннин,Авто генеральное,2400,$ / 90',3-4 дня
Шанхай,Хэйхэ,Авто генеральное,2450,$ / 90',4-5 дней
Маньчжурия,Москва,Авто генеральное,7500,$ / 90',7-10 дней 
Дуннин,Москва,Авто генеральное,13000,$ / 90',13-15 дней
Хэйхэ,Москва,Авто генеральное,11700,$ / 90',10-12 дней 
Чэнду,Москва,Авиа,2.72,$ / kg,1-2 дня
Шанхай,Москва,Авиа,2.55,$ / kg,1-2 дня
Пекин,Москва,Авиа,2.58,$ / kg,1-2 дня
Харбин,Москва,Авиа,2.23,$ / kg,1-2 дня
Нинбо,Москва,Прямое ж/д генеральное,4000,$ / 40'HC,20-25 дней
Шанхай,Москва,Прямое ж/д генеральное,3900,$ / 40'HC,20-25 дней
Циндао,Москва,Прямое ж/д генеральное,3500,$ / 40'HC,20-25 дней
Сямынь,Москва,Прямое ж/д генеральное,4800,$ / 40'HC,20-25 дней
Тяньцзинь,Москва,Прямое ж/д генеральное,3600,$ / 40'HC,20-25 дней
Шэньчжэнь,Москва,Прямое ж/д генеральное,4300,$ / 40'HC,20-25 дней
Нинбо,Москва,Море генеральное,3150,$ / 20'DC,30-35 дней
Наньша,Москва,Море генеральное,3600,$ / 20'DC,35-40 дней
Циндао,Москва,Море генеральное,3150,$ / 20'DC,30-35 дней
Сямынь,Москва,Море генеральное,3600,$ / 20'DC,35-40 дней
Шанхай,Москва,Море генеральное,3150,$ / 20'DC,30-35 дней
Нинбо,Москва,Море генеральное,3900,$ / 40'HC,30-35 дней
Наньша,Москва,Море генеральное,4500,$ / 40'HC,35-40 дней
Циндао,Москва,Море генеральное,3900,$ / 40'HC,30-35 дней
Сямынь,Москва,Море генеральное,4500,$ / 40'HC,35-40 дней
Шанхай,Москва,Море генеральное,3900,$ / 40'HC,30-35 дней
Нинбо,Новороссийск,Море генеральное,3900,$ / 20'DC,25-30 дней
Наньша,Новороссийск,Море генеральное,3450,$ / 20'DC,20-25 дней
Циндао,Новороссийск,Море генеральное,3450,$ / 20'DC,25-30 дней
Сямынь,Новороссийск,Море генеральное,3650,$ / 20'DC,20-25 дней
Шанхай,Новороссийск,Море генеральное,3400,$ / 20'DC,25-30 дней
Нинбо,Новороссийск,Море генеральное,4650,$ / 40'HC,25-30 дней
Наньша,Новороссийск,Море генеральное,4650,$ / 40'HC,20-25 дней
Циндао,Новороссийск,Море генеральное,4650,$ / 40'HC,25-30 дней
Сямынь,Новороссийск,Море генеральное,4850,$ / 40'HC,20-25 дней
Шанхай,Новороссийск,Море генеральное,4450,$ / 40'HC,25-30 дней
Нинбо,Санкт-Петербург,Море генеральное,3700,$ / 20'DC,35-45 дней
Наньша,Санкт-Петербург,Море генеральное,3635,$ / 20'DC,35-45 дней
Циндао,Санкт-Петербург,Море генеральное,3635,$ / 20'DC,35-45 дней
Сямынь,Санкт-Петербург,Море генеральное,4285,$ / 20'DC,35-45 дней
Шанхай,Санкт-Петербург,Море генеральное,3635,$ / 20'DC,35-45 дней
Нинбо,Санкт-Петербург,Море генеральное,4750,$ / 40'HC,35-45 дней
Наньша,Санкт-Петербург,Море генеральное,4760,$ / 40'HC,35-45 дней
Циндао,Санкт-Петербург,Море генеральное,4760,$ / 40'HC,35-45 дней
Сямынь,Санкт-Петербург,Море генеральное,5560,$ / 40'HC,35-45 дней
Шанхай,Санкт-Петербург,Море генеральное,4760,$ / 40'HC,35-45 дней
Варшава,Москва,Авто генеральное,2900,€ / 90',4 дня + граница
Вильнюс,Москва,Авто генеральное,3000,€ / 90',4 дня + граница
Берлин ,Москва ,Авто генеральное,3600,€ / 90',5 дней + граница
Милан,Москва,Авто генеральное,6000,€ / 90',12 дней + граница
